基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
001358,宝盈祥泰混合A,混合型,高宇,1.1897,1.1894,1.1894,0.02%,0.19%,-1.44%,1.48%,8.62%,14.59%,18.94%
001359,国联安添鑫灵活配置混合A,混合型,薛琳,1.3188,1.3143,1.3443,0.35%,3.53%,4.85%,14.33%,42.52%,35.49%,35.32%
001361,景顺中证TMT150ETF联接,联接基金,曾理,0.6214,0.625,0.625,-0.57%,2.29%,-14.50%,13.64%,29.13%,13.02%,-37.50%
001362,景顺长城领先回报混合A,混合型,万梦,1.3347,1.333,1.392,0.13%,0.15%,0.91%,5.71%,10.44%,26.51%,40.43%
001363,长城久惠灵活配置混合,混合型,马强,1.1391,1.1348,1.1348,0.38%,0.83%,-0.93%,3.40%,7.17%,13.48%,13.48%
001364,大成景润灵活配置混合,混合型,黄万青,0.8697,0.867,0.867,0.31%,3.96%,-2.80%,13.63%,16.22%,-12.25%,-13.30%
001365,大成正向回报灵活配置混合,混合型,杨挺,1.0435,1.046,1.046,-0.23%,8.39%,11.40%,31.90%,59.94%,53.37%,4.60%
001366,金鹰产业整合混合,混合型,杨晓斌,0.9165,0.916,0.916,0.06%,4.93%,-0.54%,19.12%,40.06%,39.42%,-8.40%
001367,德邦新添利债券A,债券型,丁孙楠,1.0819,1.0807,1.3287,0.11%,-0.07%,0.08%,2.61%,6.68%,19.69%,36.97%
001368,兴业稳固收益一年理财债券,定开债券,魏泰源,--,--,--, ,0.30%,0.89%,1.79%,2.91%,--,2.91%
001369,兴业稳固收益两年理财债券,定开债券,唐丁祥,1.0353,1.036,1.155,-0.07%,0.29%,0.78%,1.55%,3.05%,10.84%,16.47%
001370,中银新趋势混合,混合型,杨成,1.3007,1.3,1.3,0.05%,0.78%,-0.54%,4.67%,17.75%,25.00%,30.00%
001371,富国沪港深价值混合,混合型,汪孟海,1.3583,1.36,1.662,-0.13%,4.45%,-0.22%,11.56%,29.03%,45.32%,70.60%
001373,易方达新丝路灵活配置混合,混合型,张坤,1.061,1.063,1.063,-0.19%,5.77%,4.73%,10.27%,27.15%,49.93%,6.30%
001375,金元顺安优质精选混合C,混合型,周博洋,1.1741,1.174,1.174,0.01%,2.53%,-1.43%,9.62%,18.71%,5.86%,12.56%
001376,泓德泓富混合C,混合型,李倩,1.4834,1.4909,1.6109,-0.50%,4.26%,1.45%,19.20%,36.16%,46.04%,64.96%
001379,景顺长城领先回报混合C,混合型,万梦,1.5086,1.507,1.574,0.11%,0.13%,0.87%,5.61%,10.24%,25.70%,58.76%
001380,鹏华弘盛混合C,混合型,王石千,1.857,1.8567,1.8567,0.01%,0.61%,1.30%,5.38%,8.59%,21.71%,85.67%
001381,鹏华弘泽混合C,混合型,叶朝明,1.2639,1.2638,1.2638,0.01%,-0.65%,-0.65%,6.87%,13.96%,17.58%,26.38%
001382,易方达国企改革混合,混合型,郭杰,1.476,1.466,1.466,0.69%,6.70%,5.85%,9.48%,28.37%,--,46.60%
001384,东方新思路混合A,混合型,王然,0.934,0.9336,0.9336,0.04%,3.35%,8.22%,12.45%,25.43%,16.45%,-6.64%
001385,东方新思路混合C,混合型,王然,0.9148,0.9156,0.9156,-0.09%,3.32%,8.10%,12.22%,24.93%,15.11%,-8.44%
001387,中融新经济混合A,混合型,甘传琦,2.6337,2.636,3.068,-0.09%,6.85%,6.08%,33.74%,62.62%,52.58%,229.12%
001388,中融新经济混合C,混合型,甘传琦,1.6526,1.647,1.647,0.34%,6.88%,5.98%,33.47%,62.27%,49.18%,64.70%
001392,国富金融地产混合A,混合型,赵宇烨,1.1835,1.1688,1.1688,1.26%,-0.65%,-6.67%,-4.35%,2.29%,7.53%,16.88%
001393,国富金融地产混合C,混合型,赵宇烨,1.2403,1.227,1.227,1.09%,-0.69%,-6.78%,-4.57%,1.85%,14.35%,22.70%
001396,建信互联网+产业升级股票,股票型,何珅华,0.8301,0.829,0.829,0.14%,1.72%,-7.99%,6.69%,30.35%,21.20%,-17.10%
001397,建信精工制造指数增强,股票指数,叶乐天,1.2192,1.2168,1.2168,0.20%,1.82%,-1.68%,8.36%,22.59%,13.83%,21.68%
001398,华泰柏瑞健康生活混合,混合型,吕慧建,1.1868,1.188,1.188,-0.10%,-1.66%,-1.41%,22.47%,45.77%,69.23%,18.80%
001399,安信鑫安得利混合A,混合型,庄园,1.3428,1.3387,1.3387,0.31%,0.41%,0.33%,3.05%,5.77%,20.43%,33.87%
001400,安信鑫安得利混合C,混合型,庄园,1.3237,1.3176,1.3176,0.46%,0.40%,0.29%,2.95%,5.57%,19.71%,31.76%
001402,信诚新选混合A,混合型,提云涛,1.0975,1.096,1.096,0.14%,0.92%,0.55%,4.18%,6.41%,2.81%,9.60%
001403,招商国企改革主题混合基金,混合型,李亚,1.0919,1.091,1.091,0.08%,5.21%,-11.01%,15.82%,38.28%,29.27%,9.10%
001404,招商移动互联网产业股票基金,股票型,张林,1.0072,1,1,0.72%,13.25%,-7.41%,19.19%,43.27%,46.63%,0.00%
001405,东方红策略精选混合A,混合型,饶刚,1.1892,1.1877,1.3077,0.13%,0.05%,-1.83%,4.09%,10.63%,22.44%,32.50%
001406,东方红策略精选混合C,混合型,饶刚,1.1274,1.127,1.227,0.03%,0.02%,-1.95%,3.84%,9.99%,20.57%,24.00%
001407,景顺长城稳健回报混合C,混合型,万梦,1.2553,1.255,1.255,0.03%,-0.16%,0.48%,4.24%,8.47%,16.74%,23.16%
001408,建信鑫丰回报灵活配置混合A,混合型,朱虹,1.1166,1.1136,1.1136,0.27%,2.34%,-3.68%,3.83%,4.77%,6.13%,11.36%
001409,工银互联网加股票,股票型,张继圣,0.4458,0.447,0.447,-0.26%,4.68%,-6.09%,18.88%,47.04%,9.29%,-55.30%
001410,信达澳银新能源产业股票,股票型,冯明远,2.7399,2.762,2.824,-0.80%,3.76%,-12.32%,36.94%,88.15%,152.76%,189.16%
001411,诺安创新驱动混合A,混合型,吴博俊,1.0626,1.062,1.177,0.05%,0.38%,-0.09%,5.29%,9.99%,13.83%,18.70%
001412,德邦鑫星价值灵活配置混合A,混合型,房建威,1.1165,1.1133,1.2513,0.28%,-0.17%,-0.79%,3.41%,9.11%,18.94%,26.61%
001413,中融鑫起点混合A,混合型,吴刚,1.0393,1.0359,1.0859,0.33%,0.19%,-2.28%,0.62%,13.96%,1.95%,8.48%
001414,中融鑫起点混合C,混合型,吴刚,0.9859,0.9827,1.0327,0.33%,0.16%,-2.36%,0.46%,13.80%,-0.84%,3.03%
001415,信诚新锐混合A,混合型,杨立春,1.0276,1.026,1.026,0.15%,0.29%,-0.29%,3.12%,7.55%,9.38%,2.60%
001416,嘉实事件驱动股票,股票型,张自力,0.8771,0.877,0.877,0.01%,2.45%,-3.73%,11.15%,26.37%,12.72%,-12.30%
001417,汇添富医疗服务混合,混合型,刘江,1.5898,1.591,1.591,-0.08%,2.38%,10.95%,27.28%,61.03%,96.91%,59.10%
001418,泰达宏利创益混合A,混合型,傅浩,1.4043,1.401,1.401,0.23%,-1.06%,-2.03%,1.67%,9.03%,30.69%,40.10%
001419,泰达宏利新思路混合A,混合型,刘洋,1.2266,1.22,1.31,0.54%,0.66%,1.92%,6.36%,17.97%,22.62%,32.42%
001420,南方大数据300A,股票指数,崔蕾,1.0938,1.09,1.09,0.35%,0.94%,-4.13%,1.84%,10.96%,5.06%,9.00%
001421,南方量化成长,股票型,李佳亮,1.0655,1.068,1.068,-0.23%,1.14%,-11.52%,12.18%,13.02%,-5.32%,6.80%
001422,景顺长城安享回报混合A,混合型,万梦,1.2292,1.229,1.32,0.01%,-0.24%,0.99%,5.86%,10.92%,23.80%,33.58%
001423,景顺长城安享回报混合C,混合型,万梦,1.2146,1.214,1.305,0.05%,-0.25%,0.91%,5.66%,10.67%,23.60%,32.00%
001424,博时新起点混合A,混合型,过钧,1.6193,1.6156,1.6156,0.23%,3.04%,-10.74%,3.38%,6.85%,51.70%,61.56%
001425,博时新起点混合C,混合型,过钧,1.6178,1.6141,1.6141,0.23%,3.03%,-10.76%,3.32%,6.74%,53.27%,61.41%
001426,南方大数据300C,股票指数,崔蕾,1.0749,1.0711,1.0711,0.35%,0.90%,-4.23%,1.64%,10.51%,3.82%,7.11%
001427,招商丰泽混合A,混合型,王刚,1.2632,1.263,1.263,0.01%,0.32%,-0.63%,2.02%,4.38%,13.58%,26.30%
001428,工银瑞信灵活配置混合B,混合型,李昱,--,--,--, ,-0.09%,-0.62%,2.55%,3.39%,--,3.77%
001430,中邮乐享收益灵活配置混合,混合型,王喆,1.3535,1.345,1.405,0.63%,0.15%,-3.58%,-1.03%,16.85%,26.42%,41.84%
001433,易方达瑞景混合,混合型,韩阅川,1.3846,1.384,1.384,0.04%,-0.14%,0.87%,5.09%,8.72%,34.24%,38.40%
001437,易方达瑞享混合I,混合型,武阳,1.6537,1.656,1.656,-0.14%,4.88%,-6.07%,18.97%,44.63%,30.70%,65.60%
001438,易方达瑞享混合E,混合型,武阳,1.3532,1.355,1.355,-0.14%,4.88%,-6.16%,18.86%,44.46%,30.04%,35.50%
001441,易方达瑞信混合I,混合型,韩阅川,1.3066,1.306,1.306,0.04%,-0.31%,-3.47%,17.45%,41.19%,--,30.60%
001442,易方达瑞信混合E,混合型,韩阅川,1.2993,1.299,1.299,0.03%,-0.31%,-3.56%,17.34%,40.74%,--,29.90%
001443,易方达瑞选灵活配置混合I,混合型,韩阅川,1.3118,1.312,1.499,-0.01%,0.00%,-1.94%,9.97%,20.57%,44.47%,54.29%
001444,易方达瑞选灵活配置混合E,混合型,韩阅川,1.2978,1.298,1.483,-0.01%,0.00%,-1.96%,9.81%,20.20%,44.14%,52.64%
001445,华安国企改革主题灵活配置混合,混合型,张亮,2.0456,2.051,2.051,-0.27%,3.01%,0.79%,17.27%,34.05%,86.29%,105.10%
001446,招商丰泽混合C,混合型,王刚,1.245,1.245,1.245,0.00%,0.32%,-0.64%,1.80%,3.92%,11.96%,24.50%
001447,天弘惠利混合,混合型,钱文成,1.3589,1.3528,1.3528,0.45%,1.56%,2.33%,6.24%,12.71%,22.54%,35.28%
001448,华商双翼平衡混合,混合型,张永志,1.0194,1.018,1.018,0.14%,-4.50%,-12.69%,-11.56%,-8.70%,-7.96%,1.80%
001449,华商双驱优选混合,混合型,李双全,1.3861,1.382,1.572,0.29%,1.32%,-4.56%,18.73%,36.70%,33.40%,63.59%
001453,鹏华弘鑫混合A,混合型,李韵怡,1.1073,1.1067,1.1357,0.06%,1.09%,1.69%,6.40%,13.56%,8.77%,13.68%
001454,鹏华弘鑫混合C,混合型,李韵怡,1.0933,1.0927,1.1217,0.06%,1.09%,1.67%,6.37%,13.45%,8.47%,12.28%
001455,景顺长城中证500ETF联接,联接基金,张晓南,0.7441,0.746,0.746,-0.26%,2.05%,-5.69%,9.06%,8.75%,-1.45%,-25.40%
001457,华商新常态混合,混合型,吴昊,1.011,1.009,1.259,0.20%,2.13%,0.60%,23.80%,51.05%,15.98%,28.14%
001463,光大一带一路混合,混合型,林晓凤,1.0305,1.031,1.031,-0.05%,7.96%,0.98%,24.52%,46.45%,19.61%,3.10%
001464,光大鼎鑫混合A,混合型,詹佳,1.1554,1.154,1.22,0.12%,1.14%,4.62%,9.90%,16.80%,20.30%,22.82%
001466,华富永鑫灵活配置混合A,混合型,张娅,1.0432,1.0417,1.0417,0.14%,0.60%,-4.95%,-2.30%,4.00%,-5.30%,4.17%
001467,华富永鑫灵活配置混合C,混合型,张娅,1.0173,1.0177,1.0177,-0.04%,0.60%,-4.97%,-2.31%,3.88%,-5.68%,1.77%
001468,广发改革混合,混合型,陈少平,0.9409,0.944,0.944,-0.33%,4.08%,-3.97%,32.58%,59.73%,30.93%,-5.60%
001469,广发中证全指金融地产联接A,联接基金,陆志明,1.0057,0.9941,0.9941,1.17%,-0.42%,-8.73%,-8.27%,-3.12%,7.24%,-0.59%
001470,融通通鑫灵活配置混合,混合型,余志勇,1.237,1.238,1.297,-0.08%,0.57%,0.73%,5.99%,12.34%,27.37%,31.18%
001471,融通新能源灵活配置混合,混合型,彭炜,1.509,1.505,1.625,0.27%,5.84%,-2.02%,20.69%,53.73%,45.55%,67.38%
001473,建信大安全战略精选股票,股票型,王东杰,1.9074,1.9048,1.9048,0.14%,4.21%,1.76%,14.60%,43.79%,60.26%,90.48%
001474,兴银丰盈灵活配置,混合型,孔晓语,1.6614,1.6643,1.6643,-0.18%,-2.19%,0.87%,15.34%,31.98%,40.33%,66.43%
001475,易方达国防军工混合,混合型,陈皓,0.8643,0.866,0.866,-0.19%,3.46%,-4.73%,15.93%,19.12%,6.39%,-13.40%
001476,中银智能制造股票,股票型,王伟,0.833,0.838,0.838,-0.60%,6.89%,-8.21%,17.04%,41.55%,15.27%,-16.20%
001479,中邮风格轮动灵活配置混合,混合型,王喆,1.1282,1.121,1.244,0.64%,0.09%,-0.36%,-0.09%,9.47%,18.37%,25.29%
001480,财通成长优选混合,混合型,金梓才,1.4209,1.417,1.417,0.27%,-0.42%,-15.91%,22.37%,65.73%,66.51%,41.70%
001481,华宝标普油气上游股票美元A,QDII-指数,周晶,0.0412,0.0404,0.0404,1.97%,15.43%,-3.12%,-23.19%,-40.68%,-52.30%,-66.33%
001482,上投摩根新兴服务股票,股票型,郭晨,1.5355,1.535,1.535,0.03%,4.00%,0.26%,29.21%,56.15%,61.24%,53.50%
001484,天弘新价值混合,混合型,陈国光,1.3328,1.3322,1.3322,0.04%,0.57%,1.04%,6.34%,15.44%,22.44%,33.21%
001485,华安添颐混合,混合型,孙丽娜,1.2204,1.219,1.219,0.11%,-0.16%,0.49%,3.13%,6.37%,17.78%,21.90%
001487,宝盈优势产业混合,混合型,肖肖,1.5596,1.555,1.705,0.30%,1.70%,5.78%,11.55%,27.98%,66.31%,77.20%
001488,万家瑞丰灵活配置混合A,混合型,尹诚庸,1.2067,1.1988,1.1988,0.66%,-0.57%,-1.00%,2.73%,5.39%,9.96%,19.87%
001489,万家瑞丰灵活配置混合C,混合型,尹诚庸,1.15,1.1483,1.1483,0.15%,-0.59%,-1.07%,2.59%,5.07%,8.24%,14.82%
001490,汇添富国企创新股票,股票型,李威,1.2314,1.236,1.236,-0.38%,7.38%,9.19%,18.50%,37.64%,33.77%,23.60%
001495,东方新价值混合A,混合型,薛子徵,1.2818,1.2802,1.2802,0.13%,3.04%,4.26%,7.44%,13.45%,17.51%,28.02%
001496,工银聚焦30股票,股票型,王筱苓,0.8923,0.892,0.892,0.03%,8.65%,7.21%,19.73%,33.13%,15.54%,-10.80%
001498,建信鑫荣回报灵活配置混合,混合型,叶乐天,1.6037,1.5969,1.5969,0.43%,1.13%,4.20%,7.87%,21.37%,57.78%,59.69%
001499,国投瑞银新增长混合A,混合型,桑俊,1.2271,1.2242,1.4293,0.23%,1.26%,1.98%,8.61%,19.41%,32.30%,45.73%
001500,泓德远见回报混合,混合型,邬传雁,1.3584,1.359,1.793,-0.04%,7.77%,1.49%,15.76%,37.23%,67.20%,96.45%
001503,南方利鑫C,混合型,陈乐,1.2957,1.295,1.295,0.06%,1.17%,1.17%,4.77%,10.78%,19.69%,28.60%
001504,南方利淘C,混合型,陈乐,1.3188,1.319,1.319,-0.02%,1.31%,1.23%,5.02%,11.78%,20.90%,30.85%
001505,南方利众C,混合型,吴剑毅,1.3364,1.332,1.382,0.33%,0.68%,-0.60%,3.82%,11.65%,23.71%,38.76%
001506,景顺长城泰和回报混合A,混合型,邓敬东,1.2543,1.251,1.251,0.26%,0.24%,0.24%,1.21%,3.39%,16.92%,25.10%
001507,景顺长城泰和回报混合C,混合型,邓敬东,1.2383,1.235,1.235,0.26%,0.24%,0.16%,1.15%,3.26%,15.85%,22.04%
001508,富国新动力灵活配置混合A,混合型,于洋,2.7743,2.776,2.776,-0.06%,2.74%,1.72%,29.30%,70.94%,138.08%,177.60%
001510,富国新动力灵活配置混合C,混合型,于洋,2.7255,2.727,2.727,-0.06%,2.67%,1.56%,28.94%,70.01%,135.09%,172.70%
001511,兴全新视野定开混合,混合型,董承非,1.5204,1.515,1.575,0.36%,0.53%,-3.26%,13.91%,22.97%,45.48%,59.16%
001512,易方达中债3-5年期国债指数,债券指数,胡剑,1.2121,1.212,1.212,0.01%,-1.22%,1.93%,3.95%,5.85%,14.34%,21.20%
001513,易方达信息产业混合,混合型,郑希,1.9366,1.947,1.947,-0.53%,3.18%,-10.36%,24.41%,71.69%,92.20%,94.70%
001515,平安新鑫先锋C,混合型,刘俊廷,1.3211,1.316,1.316,0.38%,2.65%,-8.74%,20.73%,42.73%,25.45%,-25.78%
001518,万家瑞兴,混合型,孙远慧,1.5747,1.5666,2.2066,0.52%,-2.62%,-4.61%,0.01%,5.20%,27.46%,134.85%
001520,国投瑞银研究精选股票,股票型,桑俊,1.1761,1.17,1.17,0.52%,3.63%,0.60%,17.12%,30.29%,--,17.00%
001521,国寿安保成长优选股票,股票型,张琦,1.2386,1.251,1.321,-1.00%,8.97%,-9.35%,13.11%,32.38%,20.45%,33.10%
001522,博时新策略灵活配置混合A,混合型,王曦,1.3038,1.3034,1.3559,0.03%,0.36%,-0.16%,5.63%,17.71%,28.35%,36.77%
001523,博时新策略灵活配置混合C,混合型,王曦,1.3026,1.3022,1.3022,0.03%,0.35%,-0.18%,5.58%,17.60%,26.67%,30.22%
001524,华泰柏瑞精选回报混合,混合型,盛豪,1.1848,1.1846,1.1846,0.01%,0.47%,-0.66%,4.14%,10.53%,15.16%,18.46%
001528,诺安先进制造股票,股票型,韩冬燕,1.6246,1.617,1.617,0.47%,3.19%,-5.11%,5.76%,18.03%,33.75%,61.70%
001530,万家瑞富灵活配置混合,混合型,苏谋东,1.1239,1.1226,1.1526,0.11%,-0.44%,-0.37%,3.91%,7.65%,13.88%,15.63%
001531,招商安益灵活配置混合,混合型,张瀚宇,1.283,1.2789,1.2789,0.32%,2.93%,-10.57%,5.24%,15.29%,20.20%,27.89%
001532,华安文体健康混合,混合型,谢昌旭,1.5628,1.567,1.567,-0.27%,7.55%,5.88%,24.07%,39.17%,--,56.70%
001534,华宝万物互联混合,混合型,汤慧,1.0318,1.035,1.035,-0.31%,3.29%,-11.46%,16.03%,40.43%,39.68%,3.50%
001535,景顺长城改革机遇灵活配置A,混合型,邓敬东,1.0752,1.076,1.076,-0.08%,0.09%,-10.03%,0.84%,14.10%,0.28%,7.60%
001536,南方君选,混合型,卢玉珊,1.1413,1.137,1.345,0.38%,0.62%,-4.05%,4.28%,19.80%,23.50%,37.52%
001537,中加改革红利混合,混合型,王梁,1.0385,1.0346,1.0946,0.38%,1.54%,-7.72%,8.00%,17.28%,-0.60%,9.31%
001538,上投摩根科技前沿灵活配置混合,混合型,李德辉,1.77,1.769,1.769,0.06%,6.37%,1.78%,26.72%,58.65%,89.00%,76.90%
001539,嘉实中证金融地产ETF联接A,联接基金,刘珈吟,1.1892,1.1791,1.1791,0.86%,-0.58%,-8.94%,-8.31%,-5.17%,5.85%,17.91%
001540,浙商汇金转型驱动,混合型,周涛,1.0073,1.009,1.009,-0.16%,8.26%,-5.61%,26.92%,63.53%,44.76%,0.90%
001541,汇添富民营新动力股票,股票型,谭志强,1.1803,1.183,1.183,-0.23%,4.05%,-3.51%,19.98%,49.94%,35.05%,18.30%
001542,国泰互联网+股票,股票型,彭凌志,1.9143,1.923,2.082,-0.45%,6.24%,-8.91%,14.60%,29.50%,46.70%,111.68%
001543,宝盈新锐混合A,混合型,肖肖,2.0866,2.075,2.075,0.56%,1.92%,8.47%,14.26%,39.17%,94.65%,107.50%
001545,博时裕嘉纯债3个月定开债,定开债券,程卓,1.0514,1.0521,1.1841,-0.07%,-0.17%,1.72%,3.64%,6.09%,16.90%,19.77%
001546,博时裕盈3个月定开债,定开债券,程卓,1.0137,1.0136,1.223,0.01%,0.13%,1.78%,4.21%,7.27%,21.08%,24.70%
001547,兴业聚惠灵活配置混合A,混合型,徐青,1.4585,1.456,1.456,0.17%,-0.07%,2.10%,8.49%,18.28%,24.66%,45.60%
001548,天弘上证50指数A,股票指数,陈瑶,1.1786,1.171,1.171,0.65%,0.00%,-3.71%,-4.13%,7.63%,25.51%,17.10%
001549,天弘上证50指数C,股票指数,陈瑶,1.1643,1.157,1.157,0.63%,-0.02%,-3.75%,-4.23%,7.42%,24.69%,15.70%
001550,天弘中证医药100A,股票指数,沙川,0.9561,0.9598,0.9598,-0.39%,1.43%,8.09%,24.78%,39.16%,32.94%,-4.02%
001551,天弘中证医药100C,股票指数,沙川,0.9478,0.9492,0.9492,-0.15%,1.40%,8.04%,24.67%,38.87%,32.05%,-5.08%
001552,天弘中证证券保险A,股票指数,陈瑶,0.8345,0.8232,0.8232,1.38%,-1.27%,-13.07%,-3.03%,0.78%,10.29%,-17.68%
001553,天弘中证证券保险C,股票指数,陈瑶,0.8186,0.8137,0.8137,0.60%,-1.30%,-13.12%,-3.13%,0.58%,9.56%,-18.63%
001556,天弘中证500指数增强A,股票指数,杨超,0.8924,0.8927,0.8927,-0.03%,1.51%,-5.57%,14.23%,20.10%,20.31%,-10.73%
001557,天弘中证500指数增强C,股票指数,杨超,0.8779,0.8787,0.8787,-0.10%,1.48%,-5.65%,14.06%,19.71%,19.08%,-12.13%
001558,天弘医疗健康混合A,混合型,刘盟盟,1.4082,1.4065,1.4065,0.12%,5.28%,12.59%,33.51%,66.15%,103.28%,40.65%
001559,天弘医疗健康混合C,混合型,刘盟盟,1.3823,1.3841,1.3841,-0.13%,5.24%,12.48%,33.24%,65.48%,101.09%,38.41%
001562,易方达瑞和灵活配置混合,混合型,韩阅川,1.4793,1.479,1.479,0.02%,-0.07%,-3.96%,14.21%,40.46%,--,47.90%
001563,华富健康文娱灵活配置混合,混合型,高靖瑜,1.2168,1.218,1.378,-0.10%,3.31%,4.46%,19.25%,41.30%,56.54%,39.32%
001564,东方红京东大数据混合,混合型,周云,1.4048,1.396,1.396,0.63%,2.87%,-5.16%,1.38%,10.71%,12.85%,39.60%
001566,南方利达A,混合型,吴剑毅,1.2245,1.223,1.293,0.13%,0.99%,0.22%,3.65%,9.46%,22.16%,29.49%
001567,南方利达C,混合型,吴剑毅,1.2238,1.222,1.292,0.15%,0.99%,0.22%,3.65%,9.37%,22.18%,29.39%
001569,泰信国策驱动灵活配置混合,混合型,吴秉韬,0.9222,0.925,0.925,-0.31%,2.55%,-9.40%,26.89%,50.65%,31.39%,-7.50%
001570,南方利安A,混合型,吴剑毅,1.1913,1.19,1.19,0.11%,0.59%,0.17%,3.57%,9.27%,14.64%,19.00%
001571,嘉合磐石A,混合型,季慧娟,1.0776,1.0772,1.3272,0.04%,-1.45%,1.09%,3.59%,6.18%,21.20%,35.38%
001572,嘉合磐石C,混合型,季慧娟,1.0516,1.0513,1.3013,0.03%,-1.47%,1.00%,3.39%,5.51%,21.21%,32.60%
001573,南方互联网+灵活配置混合,混合型,张原,1.2927,1.3,1.495,-0.56%,-0.61%,-9.48%,33.60%,62.86%,--,51.95%
001574,中海混改红利混合,混合型,邱红丽,1.4054,1.409,1.409,-0.26%,4.14%,-7.12%,15.11%,47.08%,76.35%,40.90%
001575,兴银稳健债券,债券型,陶国峰,1.0237,1.0236,1.1345,0.01%,-1.34%,1.35%,3.30%,5.14%,15.25%,14.10%
001576,国泰智能装备股票,股票型,王阳,1.3969,1.396,1.396,0.06%,5.92%,-6.93%,21.92%,41.15%,--,39.60%
001577,嘉实低价策略股票,股票型,李帅,1.4216,1.412,1.412,0.68%,4.36%,-7.11%,17.76%,33.97%,40.64%,41.20%
001578,博时裕瑞纯债债券,债券型,郭思洁,1.2059,1.2059,1.2524,0.00%,-0.63%,1.26%,3.76%,4.66%,20.58%,26.24%
001579,国泰大农业股票,股票型,程洲,1.9318,1.926,1.926,0.30%,-1.28%,7.36%,20.15%,49.42%,--,92.60%
001580,南方利安C,混合型,吴剑毅,1.1904,1.189,1.189,0.12%,0.68%,0.17%,3.48%,9.18%,14.44%,18.90%
001581,华安沪港深通精选灵活配置混合,混合型,高钥群,1.602,1.604,1.723,-0.12%,1.78%,-4.01%,10.85%,32.45%,72.15%,76.46%
001583,安信新常态股票,股票型,袁玮,1.0697,1.063,1.395,0.63%,-0.84%,-6.43%,0.47%,9.07%,33.61%,42.57%
001584,国投瑞银新活力定开混合A,混合型,李达夫,1.2258,1.2255,1.2295,0.02%,-0.41%,2.18%,4.11%,6.56%,16.27%,23.02%
001585,国投瑞银新活力定开混合C,混合型,李达夫,1.2095,1.2092,1.2132,0.02%,-0.42%,2.15%,4.06%,6.43%,15.27%,21.39%
001588,天弘中证800指数A,股票指数,张子法,0.9894,0.9868,0.9868,0.27%,1.55%,-4.61%,4.82%,13.69%,22.39%,-1.32%
001589,天弘中证800指数C,股票指数,张子法,0.9789,0.9757,0.9757,0.32%,1.54%,-4.65%,4.72%,13.44%,21.58%,-2.43%
001592,天弘创业板ETF联接基金A,联接基金,张子法,0.8215,0.8206,0.8206,0.11%,2.56%,-5.81%,22.11%,36.84%,16.76%,-17.94%
001593,天弘创业板ETF联接基金C,联接基金,张子法,0.81,0.8095,0.8095,0.06%,2.55%,-5.85%,22.00%,36.56%,16.01%,-19.05%
001594,天弘中证银行指数A,股票指数,陈瑶,1.1071,1.0979,1.0979,0.84%,0.06%,-6.30%,-10.38%,-1.68%,10.76%,9.79%
001595,天弘中证银行指数C,股票指数,陈瑶,1.0894,1.085,1.085,0.41%,0.05%,-6.34%,-10.46%,-1.88%,10.05%,8.50%
001596,信诚新泽A,混合型,吴昊,1.1335,1.131,1.226,0.22%,1.16%,0.62%,4.34%,11.92%,--,23.52%
001601,鑫元鑫新收益灵活配置混合A,混合型,陈令朝,1.1205,1.1206,1.1406,-0.01%,1.53%,-2.73%,9.53%,10.98%,12.17%,14.27%
001602,鑫元鑫新收益灵活配置混合C,混合型,陈令朝,1.0934,1.0971,1.1071,-0.34%,1.47%,-2.91%,9.10%,10.18%,10.48%,10.79%
001603,易方达安盈回报混合,混合型,张清华,1.5522,1.548,1.548,0.27%,0.58%,-5.95%,14.08%,29.65%,44.27%,54.80%
001604,浙商汇金转型升级灵活配置混合,混合型,马斌博,1.1313,1.127,1.127,0.38%,2.55%,-5.85%,4.74%,21.05%,20.79%,12.70%
001605,国富沪港深成长精选股票,股票型,徐成,1.5955,1.6,1.6,-0.28%,4.03%,-2.74%,13.80%,40.85%,93.00%,60.00%
001606,农银工业4.0混合,混合型,赵诣,1.5562,1.565,1.565,-0.56%,7.77%,-7.55%,28.66%,40.48%,46.34%,56.50%
001607,英大策略优选A,混合型,张媛,1.4111,1.4046,1.5846,0.46%,1.31%,-5.57%,12.12%,35.00%,49.77%,60.56%
001608,英大策略优选C,混合型,张媛,1.3488,1.3447,1.5247,0.30%,1.28%,-5.66%,11.89%,35.10%,66.46%,54.54%
001609,平安鑫享混合A,混合型,WANG AO(汪澳),1.2426,1.2422,1.2422,0.03%,-0.06%,0.61%,4.46%,8.87%,16.97%,24.22%
001610,平安鑫享混合C,混合型,WANG AO(汪澳),1.2386,1.2382,1.2382,0.03%,-0.10%,0.50%,4.11%,8.14%,16.05%,23.82%
001613,长城久祥混合,混合型,陈良栋,1.4032,1.4083,1.4083,-0.36%,8.06%,2.14%,19.73%,38.64%,39.16%,40.83%
001614,东方区域发展混合,混合型,薛子徵,0.9487,0.9427,0.9427,0.63%,3.70%,2.47%,7.49%,17.11%,8.92%,-5.73%
001615,中欧睿尚定期开放混合A,混合型,华李成,--,1.198,1.198, ,-0.17%,-1.07%,3.72%,9.41%,15.08%,19.80%
001616,嘉实环保低碳股票,股票型,姚志鹏,1.8696,1.869,1.869,0.03%,7.41%,-6.83%,30.79%,43.11%,60.02%,86.90%
