基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
050009,博时新兴成长混合,混合型,曾鹏,0.8473,0.848,3.752,-0.08%,4.82%,-2.75%,25.44%,38.34%,45.21%,1.16%
050010,博时特许价值混合A,混合型,曾鹏,2.3314,2.328,2.768,0.15%,4.21%,-0.85%,22.66%,49.42%,57.09%,225.67%
050011,博时信用债券A/B,债券型,过钧,2.5133,2.496,2.611,0.69%,-2.31%,-10.89%,-1.96%,2.72%,16.47%,174.06%
050012,博时策略混合,混合型,孙少锋,1.6963,1.689,1.713,0.43%,2.30%,-3.71%,13.36%,32.16%,32.78%,72.96%
050013,博时上证超大盘ETF联接,联接基金,尹浩,1.0306,1.024,1.024,0.65%,-1.19%,-4.99%,-2.66%,5.43%,11.06%,2.40%
050014,博时创业成长混合A,混合型,韩茂华,2.5241,2.529,2.601,-0.19%,5.42%,9.43%,22.83%,39.65%,41.68%,169.79%
050015,博时大中华亚太精选,QDII,杨涛,1.1991,1.198,1.28,0.09%,6.30%,-0.83%,-1.64%,10.41%,3.19%,28.39%
050016,博时宏观回报债券A/B,债券型,王申,1.4004,1.399,1.533,0.10%,-0.07%,-0.14%,7.02%,15.74%,30.02%,56.09%
050018,博时行业轮动混合,混合型,陈雷,1.3452,1.343,1.343,0.16%,1.36%,-7.12%,12.38%,22.99%,29.38%,34.30%
050019,博时转债增强债券A,债券型,邓欣雨,1.4289,1.417,1.422,0.84%,-3.47%,-15.35%,2.02%,5.75%,7.59%,42.14%
050020,博时抗通胀增强回报,QDII,刘思甸,0.359,0.359,0.359,0.00%,5.90%,-33.64%,-37.46%,-32.52%,-31.62%,-64.10%
050021,博时创业板ETF联接A,联接基金,尹浩,1.6917,1.6991,1.6991,-0.44%,2.70%,-5.12%,22.36%,36.48%,35.04%,69.89%
050022,博时回报混合,混合型,肖瑞瑾,1.4671,1.467,2.339,0.01%,1.59%,-2.48%,14.08%,43.96%,71.18%,184.74%
050023,博时天颐债券A,债券型,王衍胜,1.4943,1.494,1.747,0.02%,0.00%,0.95%,9.05%,16.17%,31.98%,82.44%
050024,博时上证自然资源ETF联接,联接基金,万琼,0.5492,0.5465,0.5465,0.49%,0.39%,-9.23%,-6.98%,-9.23%,-15.26%,-45.35%
050025,博时标普500ETF联接A,QDII-指数,万琼,2.4272,2.4257,2.4847,0.06%,6.03%,-1.69%,-2.71%,9.86%,28.85%,154.67%
050026,博时医疗保健行业混合A,混合型,葛晨,3.1031,3.113,3.252,-0.32%,5.81%,19.18%,35.94%,70.39%,111.91%,248.46%
050027,博时信用债纯债债券A,债券型,陈凯杨,1.1116,1.1114,1.504,0.01%,-0.55%,0.98%,3.14%,6.65%,16.85%,60.61%
